journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nejm,2028448817,10,auto,231,4179,0.33234623
nejm,2096008382,10,auto,214,4188,0.3110243
nejm,1202882411,10,auto,76,3988,-0.41295797
nejm,1886447798,10,auto,31,4222,-0.54599386
nejm,345184044,10,auto,211,4309,0.21297465
nejm,1004661494,10,auto,233,4109,0.29024124
nejm,1455781249,10,auto,237,4005,0.37430155
nejm,267690120,10,auto,203,3891,0.24954505
nejm,887758509,10,auto,213,3908,0.29540434
nejm,640097933,10,auto,245,3924,0.35068327
nejm,570637845,10,auto,52,4048,-0.50602984
nejm,2107838045,10,auto,54,3978,-0.4933994
nejm,2048185572,10,auto,42,4012,-0.52749985
nejm,1580868522,10,auto,45,3781,-0.5271901
nejm,536439614,10,auto,262,3921,0.4341424
nejm,1939823968,10,auto,230,3955,0.35105214
nejm,411388732,10,auto,240,3914,0.36054996
nejm,1714213222,10,auto,237,3862,0.41456378
nejm,1707506535,10,auto,244,4198,0.301814
nejm,372885536,10,auto,243,3676,0.32174924
nejm,1799881087,10,auto,202,3468,0.16228653
nejm,1038299649,10,auto,215,4060,0.19755524
nejm,1316657061,10,auto,197,4110,0.22684872
nejm,1389744192,10,auto,50,4156,-0.50717497
nejm,1460003555,10,auto,226,3911,0.2919686
nejm,41182851,10,auto,12,3743,-0.43883172
nejm,263572890,10,auto,127,4074,-0.2623468
nejm,1955308462,10,auto,210,3826,0.24840842
nejm,2107125377,10,auto,40,4165,-0.52310115
nejm,1030017102,10,auto,40,4024,-0.52993673
nejm,1438101669,10,auto,218,3743,0.2639002
nejm,1922923517,10,auto,50,3569,-0.5530404
nejm,267633759,10,auto,219,4036,0.3349063
nejm,421060560,10,auto,239,4048,0.36711398
nejm,1400902798,10,auto,209,4015,0.20086488
nejm,1391972604,10,auto,236,3824,0.34833744
nejm,1039455910,10,auto,238,4004,0.38886085
nejm,1821117805,10,auto,54,3519,-0.4939144
nejm,1567668788,10,auto,64,3949,-0.4996714
nejm,355160062,10,auto,45,4149,-0.54190457
nejm,820618009,10,auto,206,4189,0.14069937
nejm,1012649077,10,auto,6,4153,-0.3978489
nejm,654141271,10,auto,228,3997,0.34285206
nejm,687079714,10,auto,199,4086,0.19721584
nejm,331654640,10,auto,210,3856,0.24742216
nejm,630710716,10,auto,218,4156,0.3012122
nejm,445448594,10,auto,212,3969,0.1942231
nejm,1242350838,10,auto,223,3968,0.26889306
nejm,1192363601,10,auto,224,4150,0.28038064
nejm,1840117773,10,auto,226,4018,0.33032316
nejm,910260946,10,auto,232,3997,0.3627782
nejm,321300101,10,auto,214,4099,0.25966147
nejm,1462346117,10,auto,7,4017,-0.35101327
nejm,1771478674,10,auto,233,3873,0.38991886
nejm,1555462866,10,auto,45,3852,-0.55449814
nejm,1102124195,10,auto,5,3999,-0.13715404
nejm,1962928475,10,auto,218,4038,0.30368522
nejm,1185146118,10,auto,215,4053,0.2766678
nejm,404887664,10,auto,47,4138,-0.5130448
nejm,1934135927,10,auto,248,4046,0.36934656
nejm,1381159359,10,auto,217,3949,0.3065395
nejm,676895180,10,auto,220,4075,0.28259933
nejm,1637506974,10,auto,222,4245,0.2705809
nejm,59215953,10,auto,232,4057,0.32201418
nejm,293896388,10,auto,218,4157,0.2533101
nejm,474887334,10,auto,231,3923,0.33849606
nejm,53348960,10,auto,229,4092,0.39696196
nejm,944804993,10,auto,233,4112,0.33666548
nejm,1158694454,10,auto,200,4187,0.20795175
nejm,1063137405,10,auto,223,3894,0.3169891
nejm,671224821,10,auto,192,3877,0.18232131
nejm,456469507,10,auto,5,4053,-0.32933035
nejm,479050304,10,auto,11,4011,-0.41140425
nejm,1371726329,10,auto,229,4008,0.3289892
nejm,232538701,10,auto,221,3946,0.27692598
nejm,1568194646,10,auto,212,3947,0.22095677
nejm,1967905087,10,auto,214,3898,0.2737365
nejm,1399061065,10,auto,233,4077,0.3214501
nejm,927573876,10,auto,232,4044,0.33949727
nejm,883432311,10,auto,236,3961,0.2901455
nejm,776814441,10,auto,206,4183,0.18818052
nejm,2144675067,10,auto,169,3987,0.09231577
nejm,1399923641,10,auto,183,4155,0.10918791
nejm,1354325478,10,auto,224,4003,0.28759375
nejm,962033017,10,auto,245,3853,0.36623448
nejm,1083491618,10,auto,205,3856,0.23769386
nejm,1826282358,10,auto,235,3758,0.3104419
nejm,282911625,10,auto,224,3955,0.28378522
nejm,1430555553,10,auto,221,4016,0.27256423
nejm,1331048975,10,auto,10,3945,-0.49437073
nejm,159148180,10,auto,217,4018,0.26954928
nejm,888009316,10,auto,7,3971,-0.40300316
nejm,934438841,10,auto,47,4080,-0.5340614
nejm,2089110338,10,auto,55,3702,-0.5276488
nejm,742121376,10,auto,228,4085,0.32199952
nejm,1174604146,10,auto,241,3643,0.3022751
nejm,104682799,10,auto,232,3982,0.3523736
nejm,533781069,10,auto,218,3963,0.25033104
nejm,1036454320,10,auto,216,3978,0.26295492
nejm,602773128,10,auto,199,4002,0.16273676
nejm,889530496,10,auto,233,3825,0.24165982
nejm,1115900836,10,auto,45,4157,-0.52264386
nejm,1004208762,10,auto,240,3868,0.3509913
nejm,1536300262,10,auto,204,4094,0.23530307
nejm,555877963,10,auto,240,3745,0.370967
nejm,345313966,10,auto,230,3836,0.3079756
nejm,591136577,10,auto,223,4343,0.28608498
nejm,1573956490,10,auto,226,3944,0.34603998
nejm,368159590,10,auto,212,3861,0.21876512
nejm,356468740,10,auto,227,3919,0.34952104
nejm,1687001903,10,auto,238,3851,0.3157254
nejm,472248125,10,auto,94,3820,-0.3495061
nejm,895814267,10,auto,213,3923,0.19009969
nejm,1227497952,10,auto,217,3904,0.30509347
nejm,2020547436,10,auto,216,4148,0.27641633
nejm,535958348,10,auto,224,3874,0.31719586
nejm,44302631,10,auto,218,4124,0.26823458
nejm,186933738,10,auto,49,3883,-0.48369205
nejm,571309617,10,auto,47,3999,-0.5081619
nejm,1091890978,10,auto,241,4185,0.40928134
nejm,470492804,10,auto,53,3885,-0.50262684
nejm,868291457,10,auto,220,4103,0.36191103
nejm,1092103882,10,auto,219,3826,0.265306
nejm,340653389,10,auto,235,4084,0.3718556
nejm,116964007,10,auto,214,4045,0.25062826
nejm,725887122,10,auto,204,3996,0.25148475
nejm,879656342,10,auto,187,3882,0.15200546
nejm,1862948266,10,auto,248,4070,0.3978184
nejm,557746439,10,auto,220,3976,0.27247056
nejm,1878272007,10,auto,220,4082,0.2643593
nejm,1504773118,10,auto,228,4199,0.3124283
nejm,317783744,10,auto,30,3885,-0.54446006
nejm,1484900945,10,auto,221,3875,0.31294838
nejm,2086141216,10,auto,224,3632,0.23554805
nejm,640742794,10,auto,241,4208,0.34125713
nejm,16268641,10,auto,222,3980,0.25968313
nejm,1107730515,10,auto,220,3800,0.28498974
nejm,944981480,10,auto,217,3917,0.28677043
nejm,1384314575,10,auto,219,4179,0.25512585
nejm,1698474325,10,auto,218,4106,0.3291876
nejm,1298526089,10,auto,213,4150,0.26866224
nejm,1356960936,10,auto,222,4040,0.27588004
nejm,1874519557,10,auto,5,3923,-0.29761675
nejm,385384999,10,auto,205,3592,0.1997034
nejm,1835206040,10,auto,230,4107,0.3477135
nejm,1178924699,10,auto,52,4229,-0.5300406
nejm,181322139,10,auto,113,4024,-0.28396532
